TITULO:,CATÁLOGO
AMER ASSOC CEREAL CHEMISTS INC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER ASSOC PHARMACEUTICAL SCIENTISTS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER ASTRONAUTICAL SOC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER CERAMIC SOC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER CHEMICAL SOC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER DENTAL ASSOC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER EDUCATIONAL RESEARCH ASSOC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER FISHERIES SOC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER GEOPHYSICAL UNION,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER INST AERONAUTICS & ASTRONAUTICS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER INST CHEMICAL ENGINEERS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER INST PHYSICS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER MATHEMATICAL SOC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER METEOROLOGICAL SOCIETY,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER ORNITHOLOGISTS UNION,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER PHILOSOPHICAL SOC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"AMER PSYCHIATRIC PRESS, INC",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"AMER PSYCHIATRIC PUBLISHING, INC",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER SOC AGRONOMY,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER SOC CIVIL ENGINEERS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"AMER SOC HEATING, REFRIGERATING AND AIR-CONDITIONING ENGS",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER SOC MECHANICAL ENGINEERS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER SOC MICROBIOLOGY,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER SOC PLANT TAXONOMISTS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMER UNIV CAIRO PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMERICAN ASSOCIATION OF PETROLEUM GEOLOGISTS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
AMERICAN CHEMICAL SOCIETY,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
AMERICAN GEOPHYSICAL UNION,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
AMERICAN INSTITUTE OF MUSICOLOGY,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
AMERICAN LIBRARY ASSOCIATION,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
AMERICAN MATHEMATICAL SOCIETY,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
AMERICAN MATHEMATICAL SOCIETY,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
AMERICAN MUSEUM OF NATURAL HISTORY,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
AMERICAN ORNITHOLOGISTS' UNION,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
AMERICAN PSYCHOLOGICAL ASSOCIATION (APA),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
AMERICAN SOCIETY OF CIVIL ENGINEERS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
AMERICAN SOLAR ENERGY SOCIETY,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
AMORRORTU,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
AMPERSAND,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
AMS PRESS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
AMSTERDAM UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AMSTERDAM UNIVERSITY PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ANAGRAMA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
"ANALYTIC PRESS, INC",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"ANAYA (GRUPO ANAYA, HACHETTE LIVRE)",<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ANAYA MULTIMEDIA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ANAYA MULTIMEDIA (GRUPO ANAYA),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ANDARTA BOOKS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ANDAVIRA EDITORA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ANDERSON PUBL CO,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ÁNFORA NOVA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ANN ARBOR,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ANNUAL REVIEWS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ANNUAL REVIEWS INC.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
ANTHEM PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ANTHROPOS EDITORIAL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ANTONI BOSCH EDITOR,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ANTONIO MACHADO LIBROS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
AOSIS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
APPLE ACAD PRESS INC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
APRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ARACNE EDITRICE,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ARANZADI (ARANZADI LA LEY / KARNOV GROUP),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ARANZADI SOC SCIENCES,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ARC HUMANITIES PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ARC MEDIEVAL PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ARCADIA PUBLISHING,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ARCHAEOPRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
"ARCHEOLOGICKY USTAV AV CR, PRAHA, V V I",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ARCIBEL EDITORES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ARCO LIBROS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
ARCO LIBROS – LA MURALLA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ARDEN SHAKESPEARE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ARIADNA EDICIONES,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ARIEL (GRUPO PLANETA),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ARIZONA CENTER FOR MEDIEVAL AND RENAISSANCE STUDIES PRESS (ACMR S),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ARMAND COLIN (HACHETTE LIVRE),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ARSENAL PULP PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ARTECH HOUSE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ARTEFACTUM PUBLISHING HOUSE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ARTIUM,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ARTS EXTENSION SERV,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ASCD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ASCE,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
ASCHENDORFFSCHE VERLAGSBUCHHANDLUNG,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
"ASCLEPION PUBLISHING, LLC",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ASERS PUBLISHING,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ASHGATE PUBLISHING (ASHGATE PUBLISHING GROUP),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ASHGATE PUBLISHING LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ASIAN DEVELOPMENT BANK,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
ASM INTERNATIONAL,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ASOCIACION ESPANOLA MICOLOGIA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ASOCIACIÓN ESPAÑOLA DE CONTABILIDAD Y ADMINISTRACIÓN (AECA),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ASOCIACIÓN ESPAÑOLA DE GEOGRAFÍA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ASSER PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ASSOC AUSTRALASIAN PALAEONTOLOGISTS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ASSOC COLL RESEARCH LIBRARIES,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ASSOCIATION FOR INFORMATION MANAGEMENT (ASLIB),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ASTM INTERNATIONAL,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ASTRONOMICAL SOC PACIFIC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ASUNIVEP,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ATELIER,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ATELIERS D'ETHNOMUSICOLOGIE,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
ATENEO DE MANILA UNIV,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ATHABASCA UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ATHENAICA EDICIONES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ATLANTIS PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"AUERBACH PUBLICATIONS, TAYLOR & FRANCIS GROUP",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AUSTRALASIAN INST MINING & METALLURGY,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AUSTRALIAN CENTRE INT AGRICULTURAL RESEARCH,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AUSTRALIAN GOVT PUBL SERV,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AUSTRALIAN HOUSING AND URBAN RESEARCH INSTITUTE (AHURI),<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
AUSTRALIAN NATL UNIV,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AUSTRIAN ACAD SCIENCE PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
AUSTRIAN ACADEMY OF SCIENCES,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
AUSTRIAN SOCIETY OF AGRICULTURAL ECONOMICS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
AVI PUB. CO,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
B DE F,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BAAR-VERLAG,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
"BALTIC MARINE ENVIRONM PROTECTCOMMISS, HELSINKI COMMISSION",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BANCO REPUBLICA-CENTRAL BANK COLOMBIA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BÄRENREITER VERLAG,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BARKHUIS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
BASIC BOOKS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BAYLOR UNIV,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BAYWOOD PUBLISHING CO INC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BEGELL HOUSE,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
BEGELL HOUSE INC.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
"BEGELL HOUSE, INC",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BELLATERRA EDICIONS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BELLES-LETTRES,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
BENTHAM,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
BENTHAM SCIENCE PUBL,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BENTHAM SCIENCE PUBLISHERS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
BENTHAM SCIENCE PUBLISHERS B.V.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
BERG PUBLISHERS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BERG PUBLISHERS LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
